,,,,,,,
Data Point Details,,,,,,,
,,,,,,,
Container,Material,Material Desc,Data Point Desc,Data Point  Value,High Limit,Result,Submitter
26575879-014,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,2.11,5.34,PASS,avilaa1
26575879-014,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,1.175,5.34,PASS,avilaa1
26575879-014,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,5.655,9.04,PASS,avilaa1
26575879-014,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,4.815,8.34,PASS,avilaa1
26575879-014,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,6.98,9.04,PASS,avilaa1
26575879-014,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.465,5.34,PASS,avilaa1
26575879-014,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.84,9.04,PASS,avilaa1
26575879-014,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,3.015,5.34,PASS,avilaa1
26575879-015,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.44,5.34,PASS,chavj11
26575879-015,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,4.27,9.04,PASS,chavj11
26575879-015,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,0.075,5.34,PASS,chavj11
26575879-015,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.77,5.34,PASS,chavj11
26575879-015,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,5.765,9.04,PASS,chavj11
26575879-015,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,3.455,8.34,PASS,chavj11
26575879-015,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,8.48,9.04,PASS,chavj11
26575879-015,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,3.885,5.34,PASS,chavj11
26575879-015,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,4.97,9.04,PASS,chavj11
26575879-015,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,3.46,5.34,PASS,chavj11
26575879-016,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,4.065,5.34,PASS,gallarb
26575879-016,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,8.145,9.04,PASS,gallarb
26575879-016,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,5.115,5.34,PASS,gallarb
26575879-016,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.625,5.34,PASS,gallarb
26575879-016,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,4.165,9.04,PASS,gallarb
26575879-016,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,2.925,8.34,PASS,gallarb
26575879-016,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,7.88,9.04,PASS,gallarb
26575879-016,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.365,5.34,PASS,gallarb
26575879-016,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,4.885,9.04,PASS,gallarb
26575879-016,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,2.965,5.34,PASS,gallarb
26575879-017,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,4.205,5.34,PASS,gallarb
26575879-017,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,7.29,9.04,PASS,gallarb
26575879-017,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,3.365,5.34,PASS,gallarb
26575879-017,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.62,5.34,PASS,gallarb
26575879-017,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,4.86,9.04,PASS,gallarb
