26575879-075,50550785-01,TOP ASSY ERCP SCOPE,5.31,4.265,0.9,0.595,5.83,6.515,7.95,4.635,5.55,2.355,FAIL,chavj11
26575879-076,50550785-01,TOP ASSY ERCP SCOPE,4.16,6.98,2.7,0.78,5.315,3.585,9.45,3.515,5.41,3.46,FAIL,chavj11
26575879-077,50550785-01,TOP ASSY ERCP SCOPE,3.585,7.945,1.995,0.535,5.18,4.91,8.525,5.54,4.435,2.525,REWORK,chavj11
26575879-079,50550785-01,TOP ASSY ERCP SCOPE,3.775,7.55,1.94,0.85,5.2,2.775,8.77,3.385,5.94,4.245,PASS,chavj11
26575879-080,50550785-01,TOP ASSY ERCP SCOPE,4.125,5.345,1.075,0.625,5.39,3.04,8.345,4.485,5.015,2.9,PASS,chavj11
26586150-001,50550785-01,TOP ASSY ERCP SCOPE,3.82,8.28,0.93,0.935,5.52,3.665,7.165,3.26,4.59,2.605,PASS,chavj11
26586150-002,50550785-01,TOP ASSY ERCP SCOPE,3.425,4.62,1.1,0.475,6.425,3.74,8.255,4.6,4.31,3.225,PASS,chavj11
26586150-003,50550785-01,TOP ASSY ERCP SCOPE,4.565,5.345,1.435,1.1,4.97,4.125,6.78,4.415,9.5,4.555,FAIL,chavj11
26586150-004,50550785-01,TOP ASSY ERCP SCOPE,3.625,4.58,0.92,0.715,3.525,4.165,8.56,3.3,6.01,3.01,PASS,chavj11
26586150-005,50550785-01,TOP ASSY ERCP SCOPE,3.325,3.985,2.56,0.955,3.93,3.285,7.47,4.825,4.8,2.285,PASS,chavj11
26586150-006,50550785-01,TOP ASSY ERCP SCOPE,4.555,7.225,1.13,0.89,7.58,4.12,8.325,5.01,4.99,5.41,FAIL,chavj11
26586150-007,50550785-01,TOP ASSY ERCP SCOPE,3.965,5.815,1.06,0.47,6.87,5.05,7.845,4.11,4.585,3.175,PASS,chavj11
26586150-008,50550785-01,TOP ASSY ERCP SCOPE,3.455,5.77,0.775,0.89,6.085,7.34,8.145,4.275,5.53,3.435,PASS,chavj11
26586150-009,50550785-01,TOP ASSY ERCP SCOPE,3.455,4.19,1.05,0.57,4.46,2.86,4.79,4.37,6.63,4.56,PASS,chavj11
26586150-010,50550785-01,TOP ASSY ERCP SCOPE,3.645,6.305,1.605,0.61,3.955,4.59,8.1,3.285,5.065,3.28,PASS,chavj11
26586150-011,50550785-01,TOP ASSY ERCP SCOPE,4.45,7.165,1.445,1.29,3.595,3.89,8.1,3.57,9.1,4.31,FAIL,chavj11
26586150-012,50550785-01,TOP ASSY ERCP SCOPE,3.415,4.585,1.915,0.655,5,4.875,8.97,5.015,4.64,3.465,PASS,chavj11
26586150-013,50550785-01,TOP ASSY ERCP SCOPE,3.455,4.15,1.15,0.275,7.81,3.44,7.855,4.66,5.06,4.005,PASS,chavj11
26586150-014,50550785-01,TOP ASSY ERCP SCOPE,2.345,3.655,0.95,0.43,7.25,7.88,7.97,3.66,6.815,3.455,PASS,chavj11
26586150-015,50550785-01,TOP ASSY ERCP SCOPE,5.02,6.73,0.82,1.29,5.295,4.725,8.185,2.63,4.905,2.835,PASS,gallarb
26586150-016,50550785-01,TOP ASSY ERCP SCOPE,4.75,7.83,1.765,0.81,5.075,3.48,8.9,4.19,5.81,4.055,PASS,gallarb
26586150-017,50550785-01,TOP ASSY ERCP SCOPE,2.46,3.89,1.415,0.77,7.715,3.065,7.235,4.52,9.05,3.455,FAIL,gallarb
26586150-018,50550785-01,TOP ASSY ERCP SCOPE,4.725,8.365,2.135,1.355,5.065,3.34,8.51,3.71,4.38,2.47,PASS,gallarb
26586150-020,50550785-01,TOP ASSY ERCP SCOPE,4.56,5.435,0.845,5.44,7.41,8.35,7.075,5.235,5.225,3.455,REWORK,gallarb
26586150-022,50550785-01,TOP ASSY ERCP SCOPE,4.655,5.5,0.975,0.5,5.705,7.89,7.355,4.56,5.615,3.455,PASS,gallarb
26586150-024,50550785-01,TOP ASSY ERCP SCOPE,3.475,4.4,1.22,0.56,6.64,3.21,7.465,4.345,7.12,4.56,PASS,gallarb
26586150-025,50550785-01,TOP ASSY ERCP SCOPE,3.34,4.62,0.83,1.005,7.14,4.67,8.475,4.565,5.065,3.6,PASS,gallarb
26586150-026,50550785-01,TOP ASSY ERCP SCOPE,3.455,4.675,0.68,1.29,3.01,8.125,7.315,4.83,5.67,3.105,PASS,gallarb
26586150-027,50550785-01,TOP ASSY ERCP SCOPE,3.315,4.055,0.815,0.77,4.92,4.99,6.965,5.125,5.36,3.425,PASS,gallarb
26586150-028,50550785-01,TOP ASSY ERCP SCOPE,5.145,8.585,0.91,0.88,4.915,3.17,8.69,3.755,5.22,3.4,PASS,gallarb
26586150-029,50550785-01,TOP ASSY ERCP SCOPE,3.55,5.08,1.15,0.935,6.005,4.61,8.205,4.85,5.39,3.325,PASS,gallarb
26586150-030,50550785-01,TOP ASSY ERCP SCOPE,3.12,3.825,1.245,0.725,4.61,2.645,7.89,4.505,4.84,5.33,FAIL,gallarb
26586150-031,50550785-01,TOP ASSY ERCP SCOPE,4.065,4.97,0.85,0.63,5.805,8.01,8.5,4.27,4.89,3.325,PASS,gallarb
26586150-032,50550785-01,TOP ASSY ERCP SCOPE,3.945,4.56,1.225,0.705,4.605,5.425,7.895,3.91,4.8,2.355,PASS,gallarb
26586150-033,50550785-01,TOP ASSY ERCP SCOPE,4.565,8.19,1.035,6.23,6.09,5.16,8.055,3.785,5.43,3.595,FAIL,gallarb
26586150-034,50550785-01,TOP ASSY ERCP SCOPE,4.555,7.89,0.905,0.84,6.015,5.465,9.22,3.935,4.235,2.455,FAIL,gallarb
26586150-035,50550785-01,TOP ASSY ERCP SCOPE,3.455,7.89,1.765,0.65,6.92,4.255,8.75,4.565,4.785,3.455,PASS,gallarb
26586150-036,50550785-01,TOP ASSY ERCP SCOPE,3.455,6.78,1.485,1.09,5.12,5.435,8.14,4.56,5.67,2.435,PASS,gallarb
26586150-037,50550785-01,TOP ASSY ERCP SCOPE,3.105,4.1,1.59,0.98,6.225,7.065,8.215,3.57,4.78,3.405,PASS,gallarb
26586150-038,50550785-01,TOP ASSY ERCP SCOPE,4.54,5.69,1.12,0.375,5.56,3.655,6.55,3.365,4.685,2.67,PASS,avilaa1
26586150-039,50550785-01,TOP ASSY ERCP SCOPE,3.575,3.99,1.7,1.035,3.43,3.16,8,4.09,5.555,3.015,PASS,avilaa1
